t+0.01482 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+0.01496 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+0.01504 | TX id: 0xd040004; 00,30,30,30,
t+0.01510 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+0.01517 | TX id: 0xd000004; 00,00,00,
t+0.01522 | TX id: 0xdca0004; 07,46,
t+0.01534 | TX id: 0xd210004; 01,01,10,
t+3.01637 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+3.01644 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+3.01646 | TX id: 0xd040004; 00,30,30,30,
t+3.01648 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+3.01650 | TX id: 0xd000004; 00,00,00,
t+3.01652 | TX id: 0xdca0004; 07,46,
t+3.01654 | TX id: 0xd210004; 01,01,10,
t+3.78602 | RX id: 0xd010001; 50,65,74,72,65,6c,20,33,
t+6.01747 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+6.01754 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+6.01757 | TX id: 0xd040004; 00,30,30,30,
t+6.01759 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+6.01761 | TX id: 0xd000004; 00,00,00,
t+6.01763 | TX id: 0xdca0004; 07,46,
t+6.01764 | TX id: 0xd210004; 01,01,10,
t+9.01847 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+9.01853 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+9.01856 | TX id: 0xd040004; 00,30,30,30,
t+9.01858 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+9.01860 | TX id: 0xd000004; 00,00,00,
t+9.01862 | TX id: 0xdca0004; 07,46,
t+9.01864 | TX id: 0xd210004; 01,01,10,
t+9.13603 | RX id: 0xdc90001; 46,
t+9.14627 | RX id: 0xd080001; 04,05,04,08,01,
t+12.01955 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+12.01962 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+12.01965 | TX id: 0xd040004; 00,30,30,30,
t+12.01967 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+12.01969 | TX id: 0xd000004; 00,00,00,
t+12.01971 | TX id: 0xdca0004; 07,46,
t+12.01973 | TX id: 0xd210004; 01,01,10,
t+12.76903 | RX id: 0xd000001; 01,00,97,
t+15.02065 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+15.02073 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+15.02076 | TX id: 0xd040004; 00,30,30,30,
