t+0.01728 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+0.01747 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+0.01756 | TX id: 0xd040004; 00,30,30,30,
t+0.01763 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+0.01768 | TX id: 0xd000004; 00,00,00,
t+0.01774 | TX id: 0xdca0004; 07,46,
t+0.01780 | TX id: 0xd210004; 01,01,10,
t+3.01886 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+3.01893 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+3.01896 | TX id: 0xd040004; 00,30,30,30,
t+3.01901 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+3.01903 | TX id: 0xd000004; 00,00,00,
t+3.01904 | TX id: 0xdca0004; 07,46,
t+3.01907 | TX id: 0xd210004; 01,01,10,
t+3.36959 | RX id: 0xd000001; 01,00,97,
t+6.02012 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+6.02022 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+6.02028 | TX id: 0xd040004; 00,30,30,30,
t+6.02033 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+6.02037 | TX id: 0xd000004; 00,00,00,
t+6.02042 | TX id: 0xdca0004; 07,46,
t+6.02046 | TX id: 0xd210004; 01,01,10,
t+7.86541 | TX id: 0xd220004; 01,01,00,
t+8.36054 | RX id: 0xd000001; 01,00,97,
t+9.02658 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+9.02666 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+9.03708 | TX id: 0xd040004; 00,30,30,30,
t+9.05768 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+9.07827 | TX id: 0xd000004; 00,00,00,
t+9.09919 | TX id: 0xdca0004; 07,46,
t+9.11982 | TX id: 0xd210004; 01,01,10,
t+9.71534 | RX id: 0xdc90001; 46,
t+9.73223 | RX id: 0xd080001; 04,05,04,07,01,
t+12.14646 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+12.15161 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+12.17726 | TX id: 0xd040004; 00,30,30,30,
t+12.19800 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+12.21883 | TX id: 0xd000004; 00,00,00,
t+12.23934 | TX id: 0xdca0004; 07,46,
t+12.25981 | TX id: 0xd210004; 01,01,10,
