t+0.01537 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+0.01560 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+0.01585 | TX id: 0xd040004; 00,30,30,30,
t+0.01600 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+0.01607 | TX id: 0xd000004; 00,00,00,
t+0.01613 | TX id: 0xdca0004; 07,46,
t+0.01619 | TX id: 0xd210004; 01,01,10,
t+3.01700 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+3.01707 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+3.01710 | TX id: 0xd040004; 00,30,30,30,
t+3.01712 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+3.01714 | TX id: 0xd000004; 00,00,00,
t+3.01716 | TX id: 0xdca0004; 07,46,
t+3.01717 | TX id: 0xd210004; 01,01,10,
t+3.02481 | RX id: 0xd200401; 00,
t+6.01826 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+6.01835 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+6.01838 | TX id: 0xd040004; 00,30,30,30,
t+6.01840 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+6.01841 | TX id: 0xd000004; 00,00,00,
t+6.01843 | TX id: 0xdca0004; 07,46,
t+6.01845 | TX id: 0xd210004; 01,01,10,
t+8.75410 | RX id: 0xdc90001; 46,
t+9.01936 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+9.01943 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+9.01946 | TX id: 0xd040004; 00,30,30,30,
t+9.01948 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+9.01952 | TX id: 0xd000004; 00,00,00,
t+9.01954 | TX id: 0xdca0004; 07,46,
t+9.01956 | TX id: 0xd210004; 01,01,10,
t+9.02687 | RX id: 0xd200401; 00,
t+12.02054 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+12.02061 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+12.02064 | TX id: 0xd040004; 00,30,30,30,
t+12.02066 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+12.02068 | TX id: 0xd000004; 00,00,00,
t+12.02069 | TX id: 0xdca0004; 07,46,
t+12.02071 | TX id: 0xd210004; 01,01,10,
t+15.02167 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+15.02171 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+15.02172 | TX id: 0xd040004; 00,30,30,30,
t+15.02173 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+15.02174 | TX id: 0xd000004; 00,00,00,
t+15.02174 | TX id: 0xdca0004; 07,46,
t+15.02175 | TX id: 0xd210004; 01,01,10,
t+18.02238 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+18.02245 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+18.02248 | TX id: 0xd040004; 00,30,30,30,
t+18.02249 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+18.02253 | TX id: 0xd000004; 00,00,00,
t+18.02256 | TX id: 0xdca0004; 07,46,
t+18.02258 | TX id: 0xd210004; 01,01,10,
t+18.02983 | RX id: 0xd200401; 00,
t+18.74021 | RX id: 0xd080001; 04,05,04,07,01,
t+21.02336 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+21.02342 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+21.02345 | TX id: 0xd040004; 00,30,30,30,
t+21.02347 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+21.02349 | TX id: 0xd000004; 00,00,00,
t+21.02351 | TX id: 0xdca0004; 07,46,
t+21.02352 | TX id: 0xd210004; 01,01,10,
t+24.02460 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+24.02467 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+24.02470 | TX id: 0xd040004; 00,30,30,30,
t+24.02474 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+24.02476 | TX id: 0xd000004; 00,00,00,
t+24.02478 | TX id: 0xdca0004; 07,46,
t+24.02480 | TX id: 0xd210004; 01,01,10,
t+24.93005 | RX id: 0xd200401; 01,
t+27.02586 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+27.02593 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+27.02596 | TX id: 0xd040004; 00,30,30,30,
t+27.02598 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+27.02600 | TX id: 0xd000004; 00,00,00,
t+27.02601 | TX id: 0xdca0004; 07,46,
t+27.02603 | TX id: 0xd210004; 01,01,10,
t+27.35309 | RX id: 0xd000001; 01,00,97,
t+28.71935 | RX id: 0xd080001; 04,05,04,07,01,
t+29.46042 | RX id: 0xd010001; 50,65,74,72,65,6c,20,33,
t+30.02691 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+30.02698 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+30.02700 | TX id: 0xd040004; 00,30,30,30,
t+30.02702 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+30.02704 | TX id: 0xd000004; 00,00,00,
t+30.02706 | TX id: 0xdca0004; 07,46,
t+30.02707 | TX id: 0xd210004; 01,01,10,
